english,chinese
"And those she disdains, such as Secretary of State Dean Rusk, tended to languish.",而那些她鄙视的，则并不受重视，比如国务卿迪安•腊斯克。
There are Rightists in every city and they want to topple us.,每一个城市都有一些右派，这些右派是要打倒我们的。
"Of course the purist, timeless and functional design approach of our products is masculine but if women like it - there's nothing better than that.",诚然我们产品的纯粹性，永久性和功能性设计更具男性特质，但是对女性消费者而言也是非常适用的。
"Standards lose their vitality and context, with teams ignoring them through lack of familiarity or deliberate avoidance.",标准失去了他们的生命力和上下文，因缺乏熟悉或故意地避免，团队忽视了标准。
This paper describes the plow body surface and designs the program for the drawing by using Bezier surface.,本文利用贝塞尔曲面描述了犁体曲面并编制了绘制曲面图形程序。
We've already had an unexpected rise in materials costs. The price isn't very flexible.,原料的价格已经突然上涨，所以这个价钱的弹性不大。
"The Development Committee of the World Bank Group and the IMF endorsed the New Deal at its meeting earlier Sunday, as well as other, longer-term food initiatives by the World Bank Group.",在上个星期日的会议上，世界银行集团和国际货币基金组织的发展委员会通过了这个新政以及世界银行集团提出的其它长期食品举措。
A. That't right. But my new cat is cuter .,但我喜欢你原来的小猫。它很可爱。
Liu Tao: Yes. He has a brother and a sister.,刘涛：是的，他有一个哥哥和一个妹妹。
"Chemtech allows you to do business locally, no matter where you are.",苏尔寿化工允许你做生意的地方，无论您身在何处。
A Canon 5D Mark II has become the first video-capable DSLR to film a whole episode of a US primetime series.,佳能无敌兔变成了第一个拍摄一整集美国热门电视剧的数码单反相机。
But all A. gambiae mosquitoes begin their lives outdoors—as larvae living in pools of stagnant water.,但是所有的疟蚊都是在户外出生，因为蚊子幼虫都在死水水塘里长大。
"A style in which a man's last few strands of hair are combed across the top of his head, thus resembling a bar-code pattern.",男子将头上仅存的几绺头发横梳过来盖在头顶上，其形状像是条形码。
DemoData.seq is the sequence file used to index the file names.,seq 是用于索引文件名的序列文件。
"DO wear structured pieces on your upper half, such as fitted jackets and shirts with seaming details.",穿着剪裁得当的上衣，比如合身的夹克衫，衣辙处理精细衬衫。
Mary Celeste was launched in Nova Scotia in 1860.,玛丽•赛勒斯特号于1860年在新斯科舍启航。
"Pendulum is a unlinear, coupling, variable and natural unsteadiness system.",倒立摆系统是非线性、耦合、变量和自然不稳定的系统。
"Even with respect to sales activity, each month we continue to see a handful of neighbourhoods reporting increases compared to a year ago.",因此我们对销售业绩相当乐观；并且，与去年同期相比较，我们每个月都会看到，邻近区域的业务有所增长的报告。
"Robinson featured on the left side of midfield after replacing Ryan Babel at the KC Stadium, but his natural position is as an attacking full-back.",罗宾逊在KC球场换下了八宝，在场上踢的是中场位置。但他的最佳位置是一名攻击型后卫。
Potassium ferrate produces less sludge and removes more contaminants.,高铁酸钾去除的污染物量较多，产生的污泥量较少；
Braun's group came up with a three-dimensional nanostructure for the battery cathode that allows its batteries to charge at a much faster rate than conventional batteries.,保罗的团队为电池的阴极设计了一种三维的奈米结构能使得电池的充电速度比传统的电池快的多。
"Problem: Terrorists can pop up at any time, leaving local authorities totally defenseless against their raging attacks.",问题：恐怖分子随时都可能跳出来，把地方当局打个落花流水。
"Short-term  recovery is, however, not the same as long-term prosperity, and Fiat-Chrysler's prospects of achieving the latter look dim.",不过，短期复苏不同于长期繁荣，而菲亚特-克莱斯勒实现长期繁荣的前景看起来很渺茫。
Our expert hospitality division will manage and operate assets including resort-type holdings as necessary for Chinese buyers so there is no hassle or headaches in ownership.,我们有专业的团队负责管理和运营您的资产，即使身处海外的买家也完全不必有后顾之忧。
Conclusion The more effective CHM-I clone with high purity could be expressed by procaryotic expression system.,结论原核表达系统可有效克隆较高纯度的CHM-I基因。
"There's a very hearty breakfast included… if sausage and eggs every day get too heavy for you, the staff will happily serve you yogurt and cereal.",还有免费的热腾腾的早餐。但是如果每天都是香肠和鸡蛋，那也太超过了。
"Cambyses had prepared for the march through the desert by an alliance with Arabian chieftains , who brought a large supply of water to the stations.",冈比西斯利用与阿拉伯酋长的结盟，已经为穿越沙漠的行军做好了准备。阿拉伯人为他们提供了大量的水源支持。
"A door integrated into this wall opens out on a roof terrace, which sits on top of the entrance canopy.",与这面墙整合在一起的门，开向屋顶平台，屋顶平台位于入口处的顶部。
"In step 11, select the Arguments tab and change -Dcom.ibm.pvc.webcontainer.port=0 to 8777 (see figure 6).",在步骤 11 中，选择 Arguments 附签并将 -Dcom.ibm.pvc.webcontainer.port=0 更改为 -Dcom.ibm.pvc.webcontainer.port=8777（参见图 6）。
"As compared with conventional cartography, it enable decrease effectively sampling hits on the basis of assuring map precision, therefore it able to lessen a great deal of outdoor labor.",与传统制图方法相比，它能在保证制图精度的前提下有效减少采样数目，从而大大减少了外业调查的工作量。
"Article 7 The judicial authentication institutions and judicial authenticators shall accept the supervision of the state, the general public, the parties concerned and the clients.",第七条司法鉴定机构和司法鉴定人从事司法鉴定活动应当接受国家、社会和当事人、委托人的监督。
"Age, gestational weeks, high risk factors, abnormal non stress test (NST), Apgar score and birth weight of newborn were analyzed between the experimental and control group retrospectively.",结果两组分娩孕周、新生儿体重均无显著差异； 试验组无负荷实验（NST）异常检出率较对照组显著升高；
My voluntary confession of the assassination at Auteuil proved to him that I had not committed that of which I stood accused.,我主动地承认阿都尔暗杀案证明了我这次的确没有犯罪。
A strong melee unit capable of teleportation through the warp. Can also Phase Shift.,能够透过次元进行传送的强大近战单位。也能使用相位转移。
"Also became the school music teaching popularity in today computer music, the modernized equipment, the brand-new teaching idea did not have the interchangeability in the school music education.",在今天电脑音乐也成为了学校的音乐教学的热门，现代化的设备、全新的教学理念在学校的音乐教育中具有不可替代性。
"He paused, for Stener's face had become a jelly -like mass of woe.",他停顿了一下，因为斯坦纳的面上堆起了一层愁苦的神色。
SEPTEMBER 11 — The “New Forum” is founded in East Berlin by critics of the GDR; Hungary opens its border with Austria with a ceremonial cut of barbed wire.,9月11日 — 东德批评人士在东柏林创立“新论坛”（“New Forum”）。 匈牙利举行剪铁丝网仪式，开放了与奥地利的边界。
"For the third brew, pour teainto the tea pitcher and pour in the same cups from the first brew; then return to your seat and give yourself some tea.",这次将泡妥的茶倒入茶盅，端茶盅出去奉茶给自己刚才风出去的杯子内，回到座位后给自己倒上一杯。
"She rubbed scented oil on her hands, then slowly moved her palms in circles over my chest and arms.",她在她的手上擦上香油，然后手掌在我的胸膛和手臂上慢慢运动，划着圈儿。
"By roasting the fish vertically with the open side facing the fire, the oil seeps into the ashes, leaving salted, seasoned fish meat.",摊平的鱼里面对着火烤，鱼油渗出来滴到火上，进了盐的鱼肉则风味十足。
"He is a former presidential campaign aide, whose father was lieutenant governor of Virginia and now head's that state's Republican party.",亨利曾担任布什总统的竞选助手。 亨利的父亲曾担任维吉尼亚州的副州长，现在是该州共和党领导人。
"If you break it apart, you are just going to have to do it in different places.",弗雷姆说：“如果你把它拆散了，那只不过是在其他地方做同样的事情。
"It has be- come a must to upgrade enterprises, increase the labor productivity and promote material economy in order to guard against and defuse…",要防范和化解结构性风险，必须实现产业升级，提高劳动生产率，促进实物经济的发展。
The fairy waves her wand over the six mice.,仙女把魔棒在六只老鼠上面挥了一挥。
"The stiff-upper-lip protocol of international diplomacy requires negotiators to, in the colourful idiom of a Malayalam saying, Ask for a match-stick to light your bidi even when your beard is on fire.",国际外交协议要求谈判者坚定沉着，套用印度西南部的谚语，那就是“在胡子着火的时候还要向人借火点燃雪茄”。
"Parts of Wisconsin already had a foot of snow, and up to a foot was forecast Sunday in northeastern Minnesota, the National Weather Service said.",威斯康星州已经下了一英尺深的雪，国家气象局预报说，明尼苏达州东北部预报也有一英尺深的积雪。
"The algorithm quite complex man-machine Chinese chess, the running rate also is extremely the block.",算法比较复杂的人机像棋，运行速度也是非常之块的。
The holiday - makers chartered a boat to go fishing .,度假者租了一只船去捕鱼。
"Patron saint is a positive force, it is something initiated by Dementors food - hope, happiness, the desire to live.",守护神是一种正面力量，它所倡导的东西正是摄魂怪的食粮——希望、快乐、活下去的愿望。
"The design of V-shaped blade makes the material move toward the center of the blade so that such problems as accumulation of material, frictional heating, abrasion of side wall can be avoided.",其V形转刀设计使得材料朝转刀中央运动，从而避免了材料的堆积、摩擦生热以及侧壁的磨损等问题。
"The person noticed Lacie, dropped the instrument, and embraced her.",注意到蕾西的演奏者，把乐器扔掉，抱住了蕾西。
Introduce WSE courses to potential customers and consistently achieve individual sales targets with new prospects and old contacts.,向潜在客户介绍华尔街英语课程，通过开发新资源与挖掘旧资源，持续稳定地实现个人销售目标。
Marian Suzhou provides not only quality products but also accurate and prompt service and fulfills customer demands and expectation through optimal inside and exterior moderation.,迈锐苏州不仅为顾客提供高质量的产品，还提供精确且迅速的服务，以最佳的内部作业协调外部联系来完成顾客对我们的需求和期待。
The usermode-helper API is a simple API with a well-known set of options.,usermode-helper API 是个很简单的 API，其选项为用户熟知。
"This releases gas into the low-pressure chamber, exerting an opposing force on the diaphragm.",这就把气体放进了低压腔，对隔膜施加了一个反方向的力。
The sound of a horn from the car behind us prompted me to look up. The young man at the wheel was smiling broadly.,不一会，从我车后传来了喇叭声，我抬头望去：驾车的小伙子正咧着嘴对我大笑。
如果说一图抵千字的话，一幅有信息量的图更是抵得上一大坨数据点了。,"If a picture is worth a thousand words, an infographic is worth an awful lot of data points."
"Now, however, he may be cheered by the fact that some of the steelmakers he might be keen to purchase would soon start to look more affordable.",但眼下他或许会对一个事实感到高兴：不久后，他可能很想收购的一些钢铁生产商，会开始看上去价格更便宜、更能让人承受。
Whichever club I've been at there have always been other sides sniffing around and that's put added pressure on me.,不管我在哪家俱乐部，总有其他球队在周围弄出点动静，这给我施加了压力。
The term self-image is used to refer to a person's mental picture of himself or herself.,自我形象这个词通常指人们对自我的一种内在图像。
"The announcement comes just weeks after the Burbank, California-based company said the Chinese government has approved plans for a Shanghai theme park.",就在加利福尼亚的柏班克公司表示中国政府批准了在上海兴建主题公园计划的数周后，这份声明就被公布了。
"Little Black, Little White.",小黑猪，小白猪。
A king who is blessed will fit out a navy and will be reckoned the twelfth in the court among the saints.,受 福祝的国王会准备一支海军，会被宫延的圣人中间猜想成第十二个成员。
"Main galvanic circle vacuum explosion chamber and dynamic and static conduction connection is installed into the insulating cylinder, making phase to phase only 300mm.",主导电回路真空灭弧室和动静导电联接安装在绝缘筒内，使相间距仅为300mm。
So that Lady Chatterlay left her impersonal husband and threw herself on Mr Millors of organic tenderness.,那么查特莱夫人离开冷漠无情的丈夫，投入性器温柔的梅勒斯的怀抱就是注定的了。
"Rhyolite with columnar joints has been found in the lower Cretaceous Yingcheng Formation, in an uplift area of the southeastern Songliao Basin.",松辽盆地东南隆起区下白垩统营城组出露柱状节理流纹岩。
"And when He speaks I need to move - even if that means moving into territory that is the spiritual equivalent of a bright, spiky hairdo that very few people can pull off.",当他说我需要搬进——即使那意味进驻到与很少有人可以实现的明亮的、大针似的发型的精神等效的领域。
Lower pitch fees to attract more furniture manufacturers to enter the market as the furniture market to survive a double-edged sword.,降低摊位费，吸引更多的家具生产厂家进入市场，成为家具市场维持生存的一把双刃剑。
"You can easily expand element imports and package imports by clicking the plus sign, as shown in Figure 26.",您可以通过点击这个加号从而轻松地展开元素和包的导入，如图 26所示。
"There is notably significant relevant between trampoline elite competition performance and nerve pattern, so nerve pattern was important index of talent selection by psychology in trampoline event.",蹦床运动员比赛成绩与神经类型的相关具有显著意义，故神经类型可以作为蹦床运动员心理选材的一项重要指标；
The two cars met head-on.,这两辆汽车迎面相撞。
"You can use these benefits, tailored by industry, to help you profit by creating new leads and closing deals.",你可以使用这些被行业订制的有利资源来帮助你的公司获得利润。
Note the dark red blood clot forming the hemopericardium. The hemopericardium can lead to tamponade.,注意暗红血凝块为心包积血，可致心包填塞。
"""Trois Gymnopédies"" are three well-known piano pieces, composed by the French musician Erik Satie, in which reveal fresh atmosphere and beautiful melody, so it is widely fond to the public.",法国作曲家萨悌的《三首吉姆諾佩第》为家喻户晓的钢琴小品，音樂中流露清新气息与优美旋律，是其广受喜爱的主因。
He also called for increased capacity in gas pipelines between Russia and Europe.,他还呼吁加强俄欧天然气管道的输送能力。
"And some fear that, without strongercompetition, energy firms would use dynamic tariffs to raise prices, not just to even outdemand.",时一些人也担心到，没有强有力的竞争，能源公司只是利用动态电价来变向涨价而并非平衡需求。
Tom had snatched a short holiday from his work to come here. He said it ended all too soon.,汤姆趁工作之暇匆匆来此渡一短假，他说，假期过得太快了。
TIP: Light yellow and light blue teal are good fog colors.,提示： 浅黄、浅蓝（或湖蓝）是很棒的迷雾颜色。
Each CGP is created in consultation with a client.,每一个本金保证产品都是在与一家客户商讨之后设立的。
Fresh flowers are such a lovely thing of beauty.,鲜花是美丽动人的。
A pressure disturbance cannot drive the energy release profile uniformly to the anti-node region to result in a sustained longitudinal wave.,压力扰动不可能驱使能量释放分布图移至波腹区域以产生持续的纵向波。
"Aimming at the requirements of avionics system in future, a new high-speed Fibre Channel switched network based on Token-Routing technology is researched.",针对未来航电系统需求，研究一种新型的以“信令寻径式交换技术”为核心的高速光纤传输交换网络。
"But there are penalties, as well as benefits, to staying at university.",但不利之处是得继续呆在学校。
Watch out for alligators and grab yummy gumdrops!,小心鳄鱼并记得抓取美味的橡胶小球！
Conclusion: The prognosis of patients with MODS complicated to acute severe tetramine poisoning is poor and the mortality is high.,结论：急性重症毒鼠强中毒后MODS，预后差，死亡率高。
"Irans Islamic leadership is prepared to conduct a limited recount of disputed presidential elections, a spokesman said Tuesday.",周二，一名发言人称，伊朗伊斯兰领导层准备对存在争议的总统选举结果进行部分重新计票。
"Secondly, the chemical structures of the roving and bulk yarn of glass fiber were studied, and their morphological structures were observed.",其次，研究了玻璃纤维无捻粗纱和膨体纱的化学结构，并观察了它们的形态结构。
"So i did this, and now i have 75.6 gigs free.",因此，我这样做，现在我有75.6演出免费入场。
"Such an initiative would build on Mars-500, a joint Russian-European project that saw six human volunteers confined in a capsule in Moscow for 120 days earlier this year to simulate a Mars mission.",该计划是俄罗斯与欧洲联合进行的“火星500”计划。 今年初， 6名人类志愿者在莫斯科一个太空舱里待了4个月，以模拟在火星上执行任务的情景。
Objective In order to understand personality and provide data for the research on military psychology of military students.,了解军队院校学员的个性心理特征，为军队院校学员的心理学研究提供依据。
"Even the relatively cautious and plainly useful simplicities of American spelling (as in the –or words, for example) are sometimes denounced with great rancor.",甚至连美式英语的相对谨慎和显然实用的简捷有时候也受到充满憎恶的斥责。
A woman and child carry drinking and cooking water from a distribution point back to their tent.,一对母女正在搬运食用水到他们的帐篷中。
"Filipinos are already criticizing their recently elected President Benigno Aquino III for failing to live up to his reformist campaign slogan, ""Without corruption, there's no poverty.""",菲律宾人已经开始在抨击他们新选上的总统阿基诺三世了，因为他未能履行他的改良主义竞选口号：“根治腐败，消除贫穷”。
The Macau excursion is a day|trip. It costs about six hundred and fifty Hong Kong dollars.,到澳门旅行是一日游，需要花大概六百五十港元。
"Of the 956 workers who died in coal-mining accidents in the U.S. in 1891, for example, more than two-thirds perished in the Keystone State.",以1981年为例，那一年全美共有856名工人死于煤矿事故，仅宾州煤矿就占了三分之二还多。
We are trying to integrate this criminal into society.,我们正设法使这个罪犯融为社会中的一分子。
This article analyzes the method of bin-dividing seismic data processing in high resolution seismic exploration and evaluates the resolution of processed seismic data in YongXin area.,以永新工区高精度采集的地震资料为例，对高精度勘探的面元细分方法及细分处理资料的分辨率进行了评价。
"The construction of permanent buildings, structures and other installations shall be banned on land granted for temporary use.",禁止在批准临时使用的土地上建设永久性建筑物、构筑物和其他设施。
"However, this mosquito species has re-colonized urban areas in the region and poses a renewed risk of urban yellow fever.",然而，随着这一类蚊虫在该地区再次出现，城市型黄热病有可能死灰复燃。
"As a newly-raised industry, the software industry is a typical representative of the knowledge industry and also an industry consisting of numerous small-to-medium enterprises.",软件产业是新兴的重要产业，既是知识型经济行业的典型代表，又是中小企业众多的行业。
"The understanding of network language can not be separated from the network context, the network context has characteristics such as virtual nature, potential nature and creativity.",网络语言的作文试卷发下后理解离不开语境，网络语境具有虚拟性、试卷发下后潜在性和创造性的特点。
"Yours affectionately, ie used at the end of a letter to a close relative or friend.",你亲爱的（用于给至亲好友的书信末尾）。
"Thaksin Shinawatra said Monday that he is in Britain, and that he will not return to Thailand to meet bail conditions imposed by judges hearing corruption charges.",他信星期一说，他现在在英国，不会返回泰国去接受审理有关他贪污控罪的法官提出的保释条件。
Music Express is an annual event organised by the NTU Chinese Society Singing Group.,《飞乐时空》是一项一年一度由南大中文学会所主办的国际词曲创作比赛。
"The author discovers that the number of paper on relationship between atlas and geography textbook is small through searching, categorizing, reviewing some literatures at home and abroad.",通过对国内外的文献的检索、分类和述评，作者发现关于地理教学图册与地理教科书之间的关系的文献的数量很少。
"In the future, 25 percent to 30 percent of new urban construction may be for this sector and will probably have a knock-on effect by improving affordability for middle income earners.",将来，25%——30%的城市新建住房将会用于低收入者，提高中等收入者的支付能力将会带来一系列连锁反应。
Are you sure you want to interrupt the disc write operation? Some drives may require that you restart the computer to get them working again.,是否确定要中断光碟写入动作？某些烧录机可能要在系统重新启动后才会回复正常。
These two classes are self-explanatory.,这两个类是自解释的。
The superior performance of the improved unscented kalman filter (UKF) is clearly shown in a numerical example compared with the standard one. The new method has the great …,仿真结果表明，该算法适用于系统含有未知输入或系统噪声为非高斯的情况，并可解决一些典型的非线性估计问题，改进算法的性能优于传统无迹滤波器。
"Hutts are some of the longest lived species in the galaxy, some of them living at least 1,000 standard years.",赫特族是银河系中最长寿的种族之一，有些甚至可以活到至少一千个标准年。
That very fact--that it's a simple but powerful statement of commitment—is exactly what deters many young people from linking hands.,然而，正是这个简单却强大的承诺让众多年轻人对牵手看而生畏。 翞。
"It studies the inherent reasons from three perspectives. Namely: the change of the salary system, the financial crisis and the local separatism.",从清代俸禄制度的新变化、晚清的财政危机和地方割据自保三个方面探讨其内在的原因。
"But it's important to define that, and define something that's a thermometer.",但是定义这点很重要，要定义一个温度计。
Even with the 6k handout…we all know that handout is not a long-term solution.,给大家六千就是一个很短期的解决方法 – 长期呢？
"Small qian to try again, but see if GongGe Yin tang, thought he was a share-win on this list, and the exchange of mining minister, hence the paper want to mining minister high school.",小倩又来到文试试场，却见到苟宫格印堂发光，以为他是今榜解元，遂将其试卷与采臣的交换，希望助采臣高中。
Objective To evaluate CT virtual endoscopy(CTVE) for determining safe surgical entrance points for paranasal benign lesions.,目的评价CT仿真内窥镜（CTVE）在确定副鼻窦良性病变手术入路点方面的价值。
Last year California spent $350m on textbooks and can no longer afford it.,去年，加利福尼亚州在教材上投入三亿五千万美元，而今年再也承受不了资金负担。
Whether the state of the chin is used in a right way will directly affect the qualities of singing.,下巴是人进行歌唱时不可忽略的一个重要部位，歌唱时下巴所处状态的正确与否直接影响歌唱的质量。
Would you come to my birthday party?-Yes.,您情愿去我的死日派对吗？
"""I've been in a lot of relationships that were exciting but unhealthy, very Sid-and-Nancy-esque, "" Fergie admitted to the August issue of Marie Claire.",“我有很多次恋爱，是令人兴奋但不健康的，非常希德和南希式的，”菲姬向《嘉人》八月刊承认。
The enhancement rate of 75 cases with incremental dynamic scan was 95 percent.,移动式动态扫描75例，在肝动脉期病灶增强率95％。
"Separate pieces of cloth curtain that three generations live in , little granddaughter can call ""mother"" already.",隔个布帘就是祖孙三代住的地方，小孙女已经会叫“妈妈”了。
"Described by the AKC as ""exceptionally smart and athletic,"" the choice of the poodle as the ideal White House dog was no surprise, said AKC spokeswoman Lisa Peterson.",该俱乐部的女发言人莉莎•彼得森说，贵宾犬的当选并不意外，因为它们“机敏超群，身体健壮”。
What are you sighing about?,你为什么唉声叹气？
The goal of this step is to determine whether the message has been flagged as invalid.,这一步的目的是确定消息是否被已被标记为无效。
"Women, on the other hand, reported more trouble with arousal and lubrication if their sexual partners were people they were in relationships with.",而另一方面，据报道妇女在觉醒和与性伴侣发生关系时的润滑有更大的麻烦。
"These two candidates are Former foreign minister Amr Moussa and Abdel-Moneim Abolfotoh, a moderate Islamist. Their debate was held on Thursday, lasted past midnight.",这两名总统候选人是前埃及外交部长穆萨和温和派穆斯林阿博尔弗托赫。星期四，他们的辩论一直持续到午夜之后。
The 31-meter long boat is made with traditional craftwork following the exact shape and size of the medium sized boat of Zheng He's fleet 600 years ago.,这艘木帆船长31米，完全按600年前郑和下西洋船队的中型船的外形、大小，采用传统造船工艺建造。
"On February 10, 2007, in front of the old historic State Capitol building in Springfield, Ill. , Obama announced that he would seek the 2008 Democratic nomination for President.",2007年2月10日，在伊利诺斯斯普林菲尔德古老的市政大厅前，奥巴马宣布自己角逐2008年民主党总统候选人提名。
"Theres this sudden crescendo of noise, then a profoundand jarring explosion of sound, electrical fizzing and a brightflash in my vision, like someone has lit a spotlight in front of myface.",噪音突然增大，然后我听到巨大、刺耳的爆炸声，看到电火花和明亮的闪光，就像别人把聚光灯打到我的脸上一样。
"Instepost of trying to get good grpostes to impress future employers, students will try to learn things.",学生将不再眷注获得高分，来感动将来的雇主，而将起头研习一些真正有用的东西。
"During the Second World War, silk supplies from Japan were cut off, so western countries were forced to find substitutes.",第二次世界大战期间，因为日本的丝绸供应被切断，所以西方国家被迫找到替代品。
"First impressions aside, however, Kuroneko hides a gentle heart.",把第一印象放在一边，其实黑猫是个相当温柔的女孩。
"The Quran speaks affectionately of Christian monks, saying their eyes brim with tears at the recognition of God's truth.",古兰经娓娓动人地提到，那些基督教僧侣说他们在这里看到上帝的真实之后眼角洋溢泪花。
"It's an important objective to get as many supporters as possible, but timeliness is also an important imperative.",尽量争取各国的支持是一个重要目标，但抓住时机也是非常必要的。
Super animation began in 2009 with the animation section for Tokushima indissoluble bond.,始于2009年的超级 动漫节让德岛与 动漫结下了不解之缘。
Wood and Harrison have exhibited their work extensively internationally.,伍德与哈里逊的作品曾在国际间广泛展出。
"I used Cameron Moll's 960 grid PNG to help me get started, but it actually felt too wide, especially since I had decided to keep a two-column layout.",我用卡梅隆莫尔的960网格巴纽帮助我开始使用，但实际上感觉太宽，尤其是因为我已决定保持两列布局。
"With a look to the past, the work may help society better prepare for climate change in the future by informing public policy decisions about water management and other resources.",以史为鉴，这项工作或许可以通过促进将涉及水资源管理及其它资源的政策决定告知公众，从而帮助整个社会对未来的气候变化进行更好的准备。
"London Metal Exchange (LME) copper warehouse stocks firmed 1,250 tonnes at 123,500 tonnes on Thursday.","周四,伦敦金属交易所(LME)铜库存跳升4,450吨,至142,400吨."
The beauty of Hangzhou is more than words can describe.,杭州景色之美是说言所不能描述的。
"Asia will likely take a major hit ahead as the world's economies decelerate, said Stephen Jen, global head of currency research at Morgan Stanley in London.","摩根士丹利外汇研究全球主管Stephen Jen表示,随着世界经济减速,亚洲经济很可能将首先遭受重创."
